,county_name,county_fips,geoid,tot_fam_acs18,tot_fam_moe_acs18,tot_fam_acs13,tot_fam_moe_acs13,pop_spfam_acs18,pop_spfam_acs13,male_hh_child_acs18,male_hh_child_moe_acs18,male_hh_child_acs13,male_hh_child_moe_acs13,female_hh_child_acs18,female_hh_child_moe_acs18,female_hh_child_acs13,female_hh_child_moe_acs13,pct_spfam_acs18,pct_spfam_acs13,moe_over_est_acs18,moe_over_est_acs13
113,San Francisco,075,06075030800,1734,157,1544,145,76,110,18,27,74,81,58,48,36,33,0.04382929642445214,0.07124352331606218,1,1
114,San Francisco,075,06075025402,728,85,759,101,56,139,11,18,38,59,45,44,101,60,0.07692307692307693,0.1831357048748353,1,1
115,San Francisco,075,06075047901,1464,203,1577,194,88,208,69,71,80,67,19,29,128,104,0.060109289617486336,0.13189600507292326,1,0
116,San Francisco,075,06075026200,1529,130,1632,109,125,160,37,36,26,30,88,64,134,85,0.08175277959450622,0.09803921568627451,0,1
117,San Francisco,075,06075021600,1051,168,801,174,121,119,49,47,15,27,72,91,104,98,0.11512844909609896,0.14856429463171036,1,1
118,San Francisco,075,06075030900,1820,142,1800,123,170,90,62,91,79,62,108,76,11,18,0.09340659340659341,0.05,1,1
119,Contra Costa,013,06013338302,1860,135,1846,105,72,80,0,17,0,17,72,61,80,65,0.03870967741935484,0.04333694474539545,1,1
120,Contra Costa,013,06013349000,1451,128,1242,113,111,116,75,90,60,45,36,32,56,46,0.07649896623018608,0.09339774557165861,1,0
121,Contra Costa,013,06013357000,750,111,848,109,86,116,17,20,36,34,69,39,80,59,0.11466666666666667,0.13679245283018868,1,0
122,Contra Costa,013,06013307101,1041,123,1037,120,151,193,13,18,54,60,138,81,139,99,0.14505283381364073,0.18611378977820636,1,1
123,Contra Costa,013,06013307202,1119,117,799,118,655,292,172,86,66,54,483,120,226,85,0.5853440571939231,0.36545682102628285,0,0
124,Contra Costa,013,06013307204,1083,97,1081,98,113,196,66,51,47,55,47,40,149,85,0.10433979686057249,0.18131359851988899,0,1
125,Contra Costa,013,06013317000,424,93,452,95,173,32,19,29,0,12,154,104,32,27,0.4080188679245283,0.07079646017699115,1,1
126,Contra Costa,013,06013321101,1705,147,1763,152,81,271,60,49,108,91,21,29,163,106,0.04750733137829912,0.1537152580828134,1,0
127,Contra Costa,013,06013321102,2008,151,1598,161,232,88,27,31,0,17,205,93,88,74,0.11553784860557768,0.05506883604505632,1,1
128,Contra Costa,013,06013321103,1316,85,1284,94,117,78,7,13,0,12,110,67,78,38,0.08890577507598785,0.06074766355140187,1,1
129,Napa,055,06055201700,1172,98,1203,128,80,68,0,17,4,7,80,57,64,35,0.06825938566552901,0.05652535328345802,1,1
130,Napa,055,06055200703,821,81,859,87,46,66,7,12,0,12,39,36,66,50,0.05602923264311815,0.07683352735739232,1,1
131,Napa,055,06055200802,1468,185,1347,173,278,315,114,115,127,93,164,109,188,99,0.1893732970027248,0.23385300668151449,1,0
132,Napa,055,06055200201,783,102,824,125,138,158,0,12,20,23,138,71,138,70,0.17624521072796934,0.19174757281553398,1,1
133,Napa,055,06055201800,464,55,519,84,48,57,0,12,19,16,48,24,38,24,0.10344827586206896,0.10982658959537572,1,0
134,Napa,055,06055200203,534,56,538,72,46,77,7,12,14,20,39,23,63,49,0.08614232209737828,0.14312267657992564,1,1
