"","GEOID","STATE","COUNTY_FIPS","TRACT","TOT_POP_MIN","TOT_POP_SEN","TOT_POP_POV","TOT_POP_CIV_NI","TOT_HH","TOT_FAM_CHILD","TOT_POP_OVER5","TOT_RENT_OCC_HOUS","POP_MINORITY","POP_OVER75","POP_SPFAM","POP_LEP","POP_BELOW200","POP_DISABILITY","POP_HUS_RENT50","POP_ZVHHS","PCT_OVER75","PCT_MINORITY","PCT_SPFAM","PCT_LEP","PCT_BELOW200","PCT_DISAB","PCT_ZVHHS","PCT_HUS_RENT50","OVER75_10","MINORITY_70","SPFAM_20","DISAB_25","LEP_20","BELOW200_30","ZVHH_10","HUS_RENT50_15","Count_DisadFact","COC_FLAG"
"44","06001404502","06","001","404502",5403,5403,5403,5403,2339,777,5186,282,439,432,780,160,129,577,253,76,0.0799555802332038,0.0812511567647603,1.003861003861,0.0308522946394138,0.0238756246529706,0.106792522672589,0.0324925181701582,0.897163120567376,0,0,1,0,0,0,0,1,2,0
"45","06001404600","06","001","404600",4347,4347,4340,4347,1761,398,4150,140,164,283,396,148,303,303,127,30,0.0651023694501955,0.0377271681619508,0.994974874371859,0.0356626506024096,0.069815668202765,0.0697032436162871,0.0170357751277683,0.907142857142857,0,0,1,0,0,0,0,1,2,0
"46","06001404700","06","001","404700",2166,2166,2166,2166,795,247,1968,74,168,144,267,95,124,170,58,6,0.0664819944598338,0.0775623268698061,1.08097165991903,0.0482723577235772,0.0572483841181902,0.0784856879039705,0.00754716981132075,0.783783783783784,0,0,1,0,0,0,0,1,2,0
"47","06001404800","06","001","404800",2784,2784,2784,2784,1243,413,2539,643,268,160,433,403,789,331,521,201,0.0574712643678161,0.0962643678160919,1.04842615012107,0.15872390705002,0.283405172413793,0.11889367816092,0.161705551086082,0.810264385692068,0,0,1,0,0,0,1,1,3,0
"48","06001404900","06","001","404900",3995,3995,3995,3995,1945,540,3644,749,458,260,659,154,608,451,634,165,0.065081351689612,0.114643304130163,1.22037037037037,0.0422612513721186,0.152190237797247,0.112891113892365,0.0848329048843188,0.846461949265688,0,0,1,0,0,0,0,1,2,0
"49","06001405000","06","001","405000",3248,3248,3240,3239,1476,285,3050,553,250,277,298,159,457,425,513,119,0.0852832512315271,0.0769704433497537,1.04561403508772,0.0521311475409836,0.141049382716049,0.13121333744983,0.0806233062330623,0.927667269439421,0,0,1,0,0,0,0,1,2,0
"50","06001405100","06","001","405100",4265,4265,4265,4265,1565,587,3934,150,136,279,646,270,77,188,120,27,0.0654161781946073,0.0318874560375147,1.10051107325383,0.0686324351804779,0.0180539273153576,0.0440797186400938,0.0172523961661342,0.8,0,0,1,0,0,0,0,1,2,0
"51","06001405200","06","001","405200",5099,5099,5099,5099,2391,370,4866,1767,844,274,394,870,1116,693,1407,182,0.0537360266718964,0.165522651500294,1.06486486486486,0.178791615289766,0.218866444400863,0.135909001765052,0.0761187787536596,0.796264855687606,0,0,1,0,0,0,0,1,2,0
"52","06001405301","06","001","405301",2899,2899,2899,2899,1517,246,2707,1349,343,167,266,381,586,437,1147,252,0.0576060710589859,0.118316660917558,1.08130081300813,0.140746213520502,0.202138668506382,0.150741635046568,0.166117336849044,0.850259451445515,0,0,1,0,0,0,1,1,3,0
"53","06001405302","06","001","405302",2616,2616,2616,2616,1488,191,2468,1426,526,267,231,888,1158,497,996,485,0.102064220183486,0.201070336391437,1.20942408376963,0.359805510534846,0.442660550458716,0.189984709480122,0.325940860215054,0.698457223001403,1,0,1,0,1,1,1,1,6,1
