GEOID,County,Census_Tract,Poverty_Rate ,Median_Family_Income
06055200804,Napa,Census Tract 2008.04,15.3,63547
06057000600,Nevada,Census Tract 6,31.3,40059
06057000900,Nevada,Census Tract 9,24.1,55060
06059001801,Orange,Census Tract 18.01,38.7,41473
06059011601,Orange,Census Tract 116.01,30.9,34905
06059011602,Orange,Census Tract 116.02,21.9,50236
06059011720,Orange,Census Tract 117.20,33.1,31619
06059011721,Orange,Census Tract 117.21,23.3,44364
06059042107,Orange,Census Tract 421.07,31.7,51500
06059042312,Orange,Census Tract 423.12,25.3,44120
06059063605,Orange,Census Tract 636.05,34,36196
06059063701,Orange,Census Tract 637.01,29.1,39743
06059074403,Orange,Census Tract 744.03,33.7,30192
06059074405,Orange,Census Tract 744.05,35.8,34136
06059074406,Orange,Census Tract 744.06,26,38636
06059074602,Orange,Census Tract 746.02,27.9,39826
06059074802,Orange,Census Tract 748.02,25.9,45873
06059075002,Orange,Census Tract 750.02,38.3,31332
06059075003,Orange,Census Tract 750.03,38.8,28506
06059075100,Orange,Census Tract 751,22.3,42931
06059075201,Orange,Census Tract 752.01,22.8,49500
06059086405,Orange,Census Tract 864.05,30,47284
06059087403,Orange,Census Tract 874.03,35.1,38534
06059087405,Orange,Census Tract 874.05,31.9,34453
06059087505,Orange,Census Tract 875.05,18.7,54417
06059087803,Orange,Census Tract 878.03,35.6,35117
06059088201,Orange,Census Tract 882.01,33,41087
06059089104,Orange,Census Tract 891.04,32,36688
06059089105,Orange,Census Tract 891.05,26.7,40448
06059099402,Orange,Census Tract 994.02,41.5,35407
06061020401,Placer,Census Tract 204.01,26.6,36328
06061020901,Placer,Census Tract 209.01,29.3,40815
06061021603,Placer,Census Tract 216.03,21.3,37472
06063000202,Plumas,Census Tract 2.02,22.7,71154
06063000400,Plumas,Census Tract 4,15.5,49241
06065030103,Riverside,Census Tract 301.03,37.5,38229
06065030300,Riverside,Census Tract 303,33,47321
06065030400,Riverside,Census Tract 304,36.7,37656
06065030501,Riverside,Census Tract 305.01,38.2,34663
06065030502,Riverside,Census Tract 305.02,29.8,36364
06065031300,Riverside,Census Tract 313,33.5,33047
06065040203,Riverside,Census Tract 402.03,35.6,35313
06065041101,Riverside,Census Tract 411.01,35.6,32200
06065041410,Riverside,Census Tract 414.10,37.5,27043
06065041703,Riverside,Census Tract 417.03,35,30239
06065042010,Riverside,Census Tract 420.10,34.4,34875
06065042209,Riverside,Census Tract 422.09,41.9,50130
06065042210,Riverside,Census Tract 422.10,37.7,43565
06065042404,Riverside,Census Tract 424.04,38.2,39167
06065042505,Riverside,Census Tract 425.05,41,30750
06065042506,Riverside,Census Tract 425.06,18.9,55176
06065042514,Riverside,Census Tract 425.14,34.4,40855
06065042515,Riverside,Census Tract 425.15,40.1,27768
06065042723,Riverside,Census Tract 427.23,36.2,38352
06065042800,Riverside,Census Tract 428,37.8,32551
06065042903,Riverside,Census Tract 429.03,34.2,44766
06065042904,Riverside,Census Tract 429.04,44.7,29549
06065043307,Riverside,Census Tract 433.07,36.8,31250
06065043310,Riverside,Census Tract 433.10,33.8,35849
06065043401,Riverside,Census Tract 434.01,43.7,26922
06065043403,Riverside,Census Tract 434.03,39.4,32075
06065043405,Riverside,Census Tract 434.05,42.3,22151
06065043601,Riverside,Census Tract 436.01,38.3,31838
06065043602,Riverside,Census Tract 436.02,33.6,33531
06065044101,Riverside,Census Tract 441.01,34,33750
06065044200,Riverside,Census Tract 442,42.9,31385
06065044507,Riverside,Census Tract 445.07,43.6,31031
06065044509,Riverside,Census Tract 445.09,48.9,24886
06065044510,Riverside,Census Tract 445.10,37.5,29816
06065044702,Riverside,Census Tract 447.02,33.8,32906
06065044915,Riverside,Census Tract 449.15,34.7,34579
06065045000,Riverside,Census Tract 450,33.5,35341
06065045303,Riverside,Census Tract 453.03,45.2,31908
06065045502,Riverside,Census Tract 455.02,33.8,38875
06065045604,Riverside,Census Tract 456.04,39.8,28196
06065045605,Riverside,Census Tract 456.05,41,31232
06065045609,Riverside ,Census Tract 456.09,39.8,26517
06065045703,Riverside ,Census Tract 457.03,33.7,33814
06065045705,Riverside ,Census Tract 457.05,50,28360
06065045706,Riverside ,Census Tract 457.06,36.7,33056
06065046102,Riverside,Census Tract 461.02,40.9,32500
06065046200,Riverside,Census Tract 462,39.5,30536
06065046500,Riverside,Census Tract 465,56.1,24688
06065051100,Riverside,Census Tract 511,12.9,53987
06067000500,Sacramento,Census Tract 5,34.3,37885
06067000700,Sacramento,Census Tract 7,44.2,18000
06067001101,Sacramento,Census Tract 11.01,34.6,(X)
06067002100,Sacramento,Census Tract 21,29.9,41912
06067002200,Sacramento,Census Tract 22,46.4,30274
06067002800,Sacramento,Census Tract 28,43.1,27639
06067003700,Sacramento,Census Tract 37,39,27168
06067004100,Sacramento,Census Tract 41,37.9,31756
06067004203,Sacramento,Census Tract 42.03,42.8,28981
06067004402,Sacramento,Census Tract 44.02,47.8,29148
06067004501,Sacramento,Census Tract 45.01,41.6,23564
06067004502,Sacramento,Census Tract 45.02,41.6,26301
06067004601,Sacramento,Census Tract 46.01,42.4,29223
06067004701,Sacramento,Census Tract 47.01,45,42984
06067004802,Sacramento,Census Tract 48.02,37.9,37939
06067004903,Sacramento,Census Tract 49.03,41.3,33681
06067004905,Sacramento,Census Tract 49.05,33.1,26977
06067005101,Sacramento,Census Tract 51.01,37,36185
06067005205,Sacramento,Census Tract 52.05,41.8,29583
06067005301,Sacramento,Census Tract 53.01,75.2,14773
06067005502,Sacramento,Census Tract 55.02,31.8,28574
06067005505,Sacramento,Census Tract 55.05,39,28194
06067005601,Sacramento,Census Tract 56.01,27.4,55385
06067005605,Sacramento,Census Tract 56.05,29.6,44200
06067006201,Sacramento,Census Tract 62.01,42.9,29783
06067006202,Sacramento,Census Tract 62.02,36.9,28646
06067006300,Sacramento,Census Tract 63,39,31625
06067006500,Sacramento,Census Tract 65,38.2,39821
06067006600,Sacramento,Census Tract 66,37.4,33724
06067006702,Sacramento,Census Tract 67.02,43.6,31771
06067006900,Sacramento,Census Tract 69,33.8,26861
06067007004,Sacramento,Census Tract 70.04,29.8,34907
06067007019,Sacramento,Census Tract 70.19,35.7,31463
06067007204,Sacramento,Census Tract 72.04,16.8,55783
06067007301,Sacramento,Census Tract 73.01,35,35302
06067007423,Sacramento,Census Tract 74.23,42.2,26875
06067008909,Sacramento,Census Tract 89.09,35,43500
06067008910,Sacramento,Census Tract 89.10,21.4,60066
06067008911,Sacramento,Census Tract 89.11,41.5,31538
06067009006,Sacramento,Census Tract 90.06,17.9,36837
06067009201,Sacramento,Census Tract 92.01,17.1,52667
06067009634,Sacramento,Census Tract 96.34,38.5,30608
06067009800,Sacramento,Census Tract 98,24.3,55481
06069000200,San Benito,Census Tract 2,20,64524
06069000701,San Benito,Census Tract 7.01,17.7,56667
06071000823,San Bernardino ,Census Tract 8.23,34,37598
06071001400,San Bernardino,Census Tract 14,17.5,50078
06071001503,San Bernardino,Census Tract 15.03,38.3,32342
06071001504,San Bernardino,Census Tract 15.04,34,46818
06071001600,San Bernardino,Census Tract 16,39.6,28462
06071002804,San Bernardino,Census Tract 28.04,45.2,28714
06071003000,San Bernardino,Census Tract 30,29.7,30375
06071003102,San Bernardino,Census Tract 31.02,34.9,33186
06071003510,San Bernardino,Census Tract 35.10,38.1,35833
06071003606,San Bernardino,Census Tract 36.06,22.9,46597
06071003609,San Bernardino,Census Tract 36.09,21.6,47606
06071003612,San Bernardino,Census Tract 36.12,17.7,50339
06071003700,San Bernardino,Census Tract 37,41.7,29152
06071004201,San Bernardino,Census Tract 42.01,39.7,31738
06071004202,San Bernardino,Census Tract 42.02,35.3,40610
06071004302,San Bernardino,Census Tract 43.02,25.9,33945
06071004404,San Bernardino,Census Tract 44.04,34.7,36131
06071004507,San Bernardino,Census Tract 45.07,36.1,35341
06071004604,San Bernardino ,Census Tract 46.04,36.1,38792
06071004700,San Bernardino,Census Tract 47,31.4,34755
06071004800,San Bernardino,Census Tract 48,40.2,30222
06071004900,San Bernardino,Census Tract 49,40.5,26378
06071005400,San Bernardino,Census Tract 54,40.9,33580
06071005500,San Bernardino,Census Tract 55,59.8,16196
06071005600,San Bernardino,Census Tract 56,64.9,17601
06071005701,San Bernardino,Census Tract 57.01,60.4,18117
06071005800,San Bernardino,Census Tract 58,48.4,22250
06071006203,San Bernardino,Census Tract 62.03,42.2,28990
06071006204,San Bernardino ,Census Tract 62.04,48.3,25789
06071006301,San Bernardino,Census Tract 63.01,39.1,37500
06071006302,San Bernardino,Census Tract 63.02,33.5,32012
06071006401,San Bernardino,Census Tract 64.01,60.6,20560
06071006402,San Bernardino,Census Tract 64.02,48.3,33289
06071006500,San Bernardino,Census Tract 65,51.4,22686
06071007107,San Bernardino,Census Tract 71.07,34.3,27703
06071007200,San Bernardino ,Census Tract 72,39.4,36563
06071007303,San Bernardino ,Census Tract 73.03,43.9,24094
06071007407,San Bernardino ,Census Tract 74.07,49.7,21844
06071007601,San Bernardino,Census Tract 76.01,41.5,24579
06071008002,San Bernardino,Census Tract 80.02,38.8,31390
06071008710,San Bernardino ,Census Tract 87.10,37,32083
06071009112,San Bernardino ,Census Tract 91.12,37.5,36970
06071009116,San Bernardino ,Census Tract 91.16,58.5,16904
06071009117,San Bernardino ,Census Tract 91.17,47.2,21979
06071009400,San Bernardino ,Census Tract 94,56,25524
06071009500,San Bernardino,Census Tract 95,38,37660
06071009716,San Bernardino ,Census Tract 97.16,40.6,30638
06071009800,San Bernardino ,Census Tract 98,43.8,27150
06071009904,San Bernardino ,Census Tract 99.04,36.8,37945
06071009905,San Bernardino ,Census Tract 99.05,42.4,31505
06071009912,San Bernardino,Census Tract 99.12,38.7,25449
06071009913,San Bernardino ,Census Tract 99.13,36.6,38080
06071010014,San Bernardino ,Census Tract 100.14,38.7,32183
06071010423,San Bernardino ,Census Tract 104.23,34.8,34886
06071010700,San Bernardino,Census Tract 107,27.3,36154
06071012400,San Bernardino,Census Tract 124,24.1,41875
06071012500,San Bernardino,Census Tract 125,28,29774
06073000900,San Diego,Census Tract 9,23.2,43047
06073001600,San Diego,Census Tract 16,28.3,34423
06073002201,San Diego,Census Tract 22.01,44.2,29247
06073002202,San Diego,Census Tract 22.02,45.4,25720
06073002301,San Diego,Census Tract 23.01,35.8,27746
06073002302,San Diego,Census Tract 23.02,38.2,28010
06073002401,San Diego,Census Tract 24.01,24.9,45795
06073002601,San Diego,Census Tract 26.01,44.9,27361
06073002707,San Diego,Census Tract 27.07,34.6,30364
06073002708,San Diego,Census Tract 27.08,43.5,28217
06073002709,San Diego,Census Tract 27.09,48.2,28750
06073002710,San Diego,Census Tract 27.10,35.3,31983
06073003001,San Diego,Census Tract 30.01,14.9,62524
06073003004,San Diego,Census Tract 30.04,20.2,47333
06073003101,San Diego,Census Tract 31.01,15.4,56375
06073003111,San Diego,Census Tract 31.11,30,41771
06073003303,San Diego,Census Tract 33.03,43.8,35278
06073003304,San Diego,Census Tract 33.04,40.4,36223
06073003305,San Diego,Census Tract 33.05,38.1,22483
06073003401,San Diego,Census Tract 34.01,10.1,56719
06073003404,San Diego,Census Tract 34.04,31.5,37255
06073003501,San Diego,Census Tract 35.01,39.2,35300
06073003502,San Diego,Census Tract 35.02,41.8,26949
06073003601,San Diego,Census Tract 36.01,42.1,27386
06073003602,San Diego,Census Tract 36.02,27,39107
06073003901,San Diego,Census Tract 39.01,50.4,23582
06073003902,San Diego,Census Tract 39.02,40.5,30000
06073004000,San Diego,Census Tract 40,32.9,33295
06073004100,San Diego,Census Tract 41,28.5,34938
06073004700,San Diego,Census Tract 47,42.6,24931
06073004800,San Diego,Census Tract 48,42,31078
06073004900,San Diego,Census Tract 49,49.5,25363
06073005000,San Diego,Census Tract 50,41.9,25125
06073005100,San Diego,Census Tract 51,48.9,28316
06073010013,San Diego,Census Tract 100.13,34.2,31048
06073011700,San Diego,Census Tract 117,31.1,27341
06073011801,San Diego,Census Tract 118.01,34.4,33000
06073013104,San Diego,Census Tract 131.04,22.8,38083
06073013205,San Diego,Census Tract 132.05,24.2,31164
06073013206,San Diego,Census Tract 132.06,20.6,37900
06073015701,San Diego,Census Tract 157.01,34.7,32040
06073015703,San Diego,Census Tract 157.03,38.6,22524
06073015801,San Diego,Census Tract 158.01,42,31406
06073015802,San Diego,Census Tract 158.02,34,31076
06073015901,San Diego,Census Tract 159.01,35.4,31898
06073019503,San Diego,Census Tract 195.03,23,42669
06073020214,San Diego,Census Tract 202.14,45.7,27755
06075017902,San Francisco,Census Tract 179.02,51.8,26875
06075023103,San Francisco,Census Tract 231.03,39.3,21144
06075023400,San Francisco,Census Tract 234,23.8,36488
06075026001,San Francisco,Census Tract 260.01,14,64946
06075026004,San Francisco,Census Tract 260.04,9.1,66422
06075026100,San Francisco,Census Tract 261,11.6,67778
06075026301,San Francisco,Census Tract 263.01,13.5,56438
06075026404,San Francisco,Census Tract 264.04,16.2,51100
06075060502,San Francisco,Census Tract 605.02,41.8,24269
06075061200,San Francisco,Census Tract 612,16.1,56167
06075980600,San Francisco,Census Tract 9806,37.4,(X)
06077000100,San Joaquin,Census Tract 1,58.4,16221
06077000300,San Joaquin,Census Tract 3,41.7,26607
06077000402,San Joaquin,Census Tract 4.02,47.3,19091
06077000500,San Joaquin,Census Tract 5,45.1,29226
06077000600,San Joaquin,Census Tract 6,43.9,28171
06077000700,San Joaquin,Census Tract 7,53.9,21657
06077000801,San Joaquin,Census Tract 8.01,28.9,47594
06077000900,San Joaquin,Census Tract 9,36,33596
06077001200,San Joaquin,Census Tract 12,20.6,75735
06077001500,San Joaquin,Census Tract 15,34.2,36645
06077001600,San Joaquin,Census Tract 16,36.9,24425
06077001900,San Joaquin,Census Tract 19,41.2,29558
06077002100,San Joaquin,Census Tract 21,31.6,40264
06077002201,San Joaquin,Census Tract 22.01,39.4,30321
06077002202,San Joaquin,Census Tract 22.02,36.8,27992
06077002800,San Joaquin,Census Tract 28,14.9,56151
06077003307,San Joaquin,Census Tract 33.07,42.1,28031
06077003700,San Joaquin,Census Tract 37,34.1,27333
06077003803,San Joaquin,Census Tract 38.03,28,50494
06077004403,San Joaquin,Census Tract 44.03,36.4,24511
06079010102,San Luis Obispo,Census Tract 101.02,23,43600
06079010902,San Luis Obispo,Census Tract 109.02,69.9,67692
06079012200,San Luis Obispo,Census Tract 122,21.2,49861
06081600200,San Mateo,Census Tract 6002,15.9,66776
06081610201,San Mateo,Census Tract 6102.01,23.6,47159
06081610500,San Mateo,Census Tract 6105,28.1,50597
06081612100,San Mateo,Census Tract 6121,23.5,52797
06083002101,Santa Barbara,Census Tract 21.01,41.7,41250
06083002403,Santa Barbara,Census Tract 24.03,37.4,31986
06083002404,Santa Barbara,Census Tract 24.04,29.5,31760
06083002502,Santa Barbara,Census Tract 25.02,19,44385
06083002702,Santa Barbara,Census Tract 27.02,30.5,31149
06083002705,Santa Barbara,Census Tract 27.05,32,37636
06083002706,Santa Barbara,Census Tract 27.06,29.3,37130
06085500800,Santa Clara,Census Tract 5008,12.7,75455
06085500901,Santa Clara,Census Tract 5009.01,31.7,59766
06085501000,Santa Clara,Census Tract 5010,23.3,55362
06085501401,Santa Clara,Census Tract 5014.01,14.8,44049
06085501600,Santa Clara,Census Tract 5016,25.4,53095
06085503110,Santa Clara,Census Tract 5031.10,29.5,35580
06085503122,Santa Clara,Census Tract 5031.22,28.9,33125
06085503305,Santa Clara,Census Tract 5033.05,11.8,61571
06085503401,Santa Clara,Census Tract 5034.01,9.7,58235
06085503601,Santa Clara,Census Tract 5036.01,17.3,51250
06085505100,Santa Clara,Census Tract 5051,14.3,81176
06085512603,Santa Clara,Census Tract 5126.03,34,36518
06085512604,Santa Clara,Census Tract 5126.04,30.1,38867
06087100800,Santa Cruz,Census Tract 1008,26.9,67361
06087101000,Santa Cruz,Census Tract 1010,44.3,35161
06087121402,Santa Cruz,Census Tract 1214.02,22.2,62716
06087121600,Santa Cruz,Census Tract 1216,14.4,61894
06089010100,Shasta,Census Tract 101,34.1,32880
06089010200,Shasta,Census Tract 102,28.9,55921
06089010704,Shasta,Census Tract 107.04,34.7,40347
06089011209,Shasta,Census Tract 112.09,30.6,32464
06089012000,Shasta,Census Tract 120,30.9,37944
06089012500,Shasta,Census Tract 125,31.9,50096
06091010000,Sierra,Census Tract 100,14.6,72893
06093000500,Siskiyou,Census Tract 5,33.7,39737
06093000702,Siskiyou,Census Tract 7.02,36,25969
06093000703,Siskiyou,Census Tract 7.03,31.4,55065
06095250801,Solano,Census Tract 2508.01,20,61106
06095250900,Solano,Census Tract 2509,59.2,14722
06095251100,Solano,Census Tract 2511,42.3,48411
06095251500,Solano,Census Tract 2515,31.7,30408
06095251600,Solano,Census Tract 2516,41.9,24214
06095251802,Solano,Census Tract 2518.02,39.1,26806
06095252605,Solano,Census Tract 2526.05,29.1,40117
06095252606,Solano,Census Tract 2526.06,33.4,51771
06095252607,Solano,Census Tract 2526.07,34.5,35208
06097150305,Sonoma,Census Tract 1503.05,25.1,53207
06097152000,Sonoma,Census Tract 1520,27.2,45000
06097153104,Sonoma,Census Tract 1531.04,32.3,45438
06099001400,Stanislaus,Census Tract 14,36,36133
06099001603,Stanislaus,Census Tract 16.03,40.7,35601
06099001604,Stanislaus,Census Tract 16.04,41.1,25586
06099001700,Stanislaus,Census Tract 17,46.1,29125
06099001800,Stanislaus,Census Tract 18,34.3,34167
06099002002,Stanislaus,Census Tract 20.02,40.7,34844
06099002100,Stanislaus,Census Tract 21,35.6,33448
06099002200,Stanislaus,Census Tract 22,42.1,26452
06099002301,Stanislaus,Census Tract 23.01,36.6,37801
06099002402,Stanislaus,Census Tract 24.02,46,28299
06099002501,Stanislaus,Census Tract 25.01,14.6,48327
06099002602,Stanislaus,Census Tract 26.02,26.7,41039
06099003002,Stanislaus,Census Tract 30.02,29.3,43073
06099003201,Stanislaus ,Census Tract 32.01,34.3,43640
06099003400,Stanislaus,Census Tract 34,33.3,36250
06099003802,Stanislaus ,Census Tract 38.02,40,24659
06099003803,Stanislaus ,Census Tract 38.03,25.7,46250
06101050102,Sutter,Census Tract 501.02,24.2,37656
06101050201,Sutter,Census Tract 502.01,38.6,26563
06101050202,Sutter,Census Tract 502.02,33.3,32171
06101050302,Sutter,Census Tract 503.02,30.6,38492
06103001100,Tehama,Census Tract 11,28.3,42688
06105000101,Trinity,Census Tract 1.01,26.7,50903
06105000300,Trinity,Census Tract 3,22.9,32352
06107000201,Tulare,Census Tract 2.01,35.2,32432
06107000302,Tulare,Census Tract 3.02,43,28512
06107000502,Tulare,Census Tract 5.02,23.3,41324
06107000900,Tulare,Census Tract 9,31.2,34517
06107001003,Tulare,Census Tract 10.03,19.6,83819
06107001100,Tulare,Census Tract 11,56.8,23513
06107001400,Tulare,Census Tract 14,15.3,52500
06107002202,Tulare,Census Tract 22.02,41.1,27917
06107002800,Tulare,Census Tract 28,54.5,21449
06107002901,Tulare,Census Tract 29.01,40.6,28576
06107003200,Tulare,Census Tract 32,39.2,31028
06107003400,Tulare,Census Tract 34,37.5,35420
06107003802,Tulare,Census Tract 38.02,43.9,26139
06107004101,Tulare,Census Tract 41.01,42.1,30183
06107004102,Tulare,Census Tract 41.02,45.2,26319
06107004200,Tulare,Census Tract 42,53.7,27877
06107004300,Tulare,Census Tract 43,47,29568
06109001200,Tuolumne,Census Tract 12,34.8,39397
06109004200,Tuolumne,Census Tract 42,15.1,51518
06111000304,Ventura,Census Tract 3.04,38,51782
06111000600,Ventura,Census Tract 6,37.3,34402
06111001302,Ventura,Census Tract 13.02,25.6,45833
06111003201,Ventura,Census Tract 32.01,37,30880
06111004305,Ventura,Census Tract 43.05,12.6,50900
06111004715,Ventura,Census Tract 47.15,11.3,60870
06111004902,Ventura,Census Tract 49.02,32,37526
06111009100,Ventura,Census Tract 91,27.4,36154
06113010101,Yolo,Census Tract 101.01,32.3,44511
06113010201,Yolo,Census Tract 102.01,20.9,58068
06113010203,Yolo,Census Tract 102.03,38.1,28574
06113010204,Yolo,Census Tract 102.04,28.9,43551
06113010602,Yolo,Census Tract 106.02,35.4,77273
06113010800,Yolo,Census Tract 108,19.8,50566
06113011102,Yolo,Census Tract 111.02,23.5,50504
06115040301,Yuba,Census Tract 403.01,44.1,19407
06115040302,Yuba,Census Tract 403.02,38,32464
06115040400,Yuba,Census Tract 404,44.5,28241
