"","state","county","tract","B25064_001E","B19013_001E","B25003_001E","B25003_002E","B25003_003E","B25003A_001E","B25003A_002E","B25003A_003E","B25003B_001E","B25003B_002E","B25003B_003E","B25003C_001E","B25003C_002E","B25003C_003E","B25003D_001E","B25003D_002E","B25003D_003E","B25003E_001E","B25003E_002E","B25003E_003E","B25003F_001E","B25003F_002E","B25003F_003E","B25003G_001E","B25003G_002E","B25003G_003E","B25003H_001E","B25003H_002E","B25003H_003E","B25003I_001E","B25003I_002E","B25003I_003E"
"115","06","001","420500",1640,89333,934,454,480,581,281,300,36,13,23,5,5,0,203,111,92,0,0,0,44,0,44,65,44,21,546,263,283,61,22,39
"116","06","001","420600",1491,116172,1219,936,283,932,744,188,29,29,0,8,0,8,162,132,30,0,0,0,53,31,22,35,0,35,901,728,173,123,57,66
"117","06","001","421100",2816,162308,860,793,67,745,692,53,0,0,0,0,0,0,99,91,8,0,0,0,11,5,6,5,5,0,730,677,53,15,15,0
"118","06","001","421200",1500,144115,1521,1309,212,1296,1143,153,7,7,0,10,10,0,144,106,38,0,0,0,9,9,0,55,34,21,1242,1115,127,63,37,26
"119","06","001","421300",1628,138971,1638,1240,398,1392,1082,310,30,30,0,0,0,0,162,92,70,0,0,0,9,9,0,45,27,18,1376,1066,310,25,16,9
"120","06","001","421400",1808,141375,650,547,103,549,456,93,25,25,0,3,3,0,57,47,10,0,0,0,6,6,0,10,10,0,528,440,88,27,22,5
"121","06","001","421500",2503,160265,1579,1309,270,1442,1185,257,19,19,0,0,0,0,85,85,0,0,0,0,6,6,0,27,14,13,1412,1166,246,50,26,24
"122","06","001","421600",1764,118750,1583,1203,380,1253,970,283,40,30,10,0,0,0,238,170,68,9,0,9,10,0,10,33,33,0,1213,950,263,69,29,40
"123","06","001","421700",1521,69986,1605,608,997,1214,497,717,0,0,0,6,0,6,237,81,156,0,0,0,54,0,54,94,30,64,1160,479,681,117,18,99
"124","06","001","421800",1691,110000,938,638,300,770,541,229,11,11,0,4,4,0,142,82,60,0,0,0,0,0,0,11,0,11,743,519,224,27,22,5
"125","06","001","421900",1586,100372,1711,1130,581,1220,808,412,97,88,9,19,19,0,226,128,98,12,12,0,53,20,33,84,55,29,1188,785,403,84,42,42
"126","06","001","422000",1637,60500,884,182,702,593,128,465,190,9,181,0,0,0,56,41,15,0,0,0,19,0,19,26,4,22,566,123,443,63,5,58
"127","06","001","422100",1372,72500,1142,619,523,731,381,350,194,137,57,10,0,10,108,57,51,0,0,0,46,20,26,53,24,29,672,346,326,115,55,60
"128","06","001","422200",1408,66769,1613,656,957,1075,465,610,163,82,81,0,0,0,227,89,138,20,20,0,78,0,78,50,0,50,963,416,547,165,49,116
"129","06","001","422300",1531,58606,1753,538,1215,1345,474,871,91,11,80,0,0,0,235,35,200,0,0,0,23,0,23,59,18,41,1248,434,814,130,40,90
"130","06","001","422400",1499,57083,2123,257,1866,1357,229,1128,56,0,56,0,0,0,565,14,551,0,0,0,40,0,40,105,14,91,1255,229,1026,142,0,142
"131","06","001","422500",1523,54375,1454,283,1171,948,247,701,7,7,0,3,0,3,411,21,390,0,0,0,26,0,26,59,8,51,881,214,667,100,33,67
"132","06","001","422600",-666666666,250001,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0
"133","06","001","422700",1416,31050,1019,141,878,641,141,500,0,0,0,0,0,0,285,0,285,0,0,0,36,0,36,57,0,57,613,141,472,89,0,89
"134","06","001","422800",1284,13188,1389,33,1356,650,33,617,41,0,41,27,0,27,603,0,603,0,0,0,19,0,19,49,0,49,597,33,564,72,0,72
"135","06","001","422900",1389,24056,1958,45,1913,830,26,804,279,19,260,0,0,0,734,0,734,0,0,0,15,0,15,100,0,100,817,26,791,44,0,44
"136","06","001","423000",1693,67304,1953,849,1104,1374,588,786,67,21,46,31,10,21,366,194,172,0,0,0,50,0,50,65,36,29,1272,566,706,182,22,160
