TRACT_CODE,TENURE_RENT,TENURE_TOT,TENURE_OWN,B25064_001E_2011,B25064_001E_2016,Rent_Percent_Change
84006001450607,1441,2290,849,1391,1455,0.046010065
84006001450701,508,2892,2384,1660,1919,0.156024096
84006001450741,761,1924,1163,1465,1873,0.278498294
84006001450742,379,1868,1489,1783,1980,0.110487942
84006001450743,1387,2103,716,1653,2090,0.264367816
84006001450744,487,1701,1214,1447,2228,0.539737388
84006001450745,664,2209,1545,1813,1821,0.004412576
84006001450746,319,1336,1017,1909,1679,-0.120481928
84006001450750,1096,2028,932,1608,1791,0.11380597
84006001450751,261,2227,1966,2001,2846,0.422288856
84006001450752,211,1610,1399,1968,2684,0.363821138
84006001451101,403,2455,2052,1824,2025,0.110197368
84006001451102,35,1393,1358,1909,-666666666,-349223.9785
84006001451201,769,2608,1839,1371,1823,0.32968636
84006001451202,144,1515,1371,1818,2130,0.171617162
84006001451300,521,2351,1830,1827,2154,0.178981938
84006001451401,1005,2397,1392,1393,1658,0.190236899
84006001451403,150,770,620,1208,2151,0.780629139
84006001451404,1204,2033,829,1265,1634,0.291699605
84006001451501,632,1773,1141,1051,924,-0.120837298
84006001451503,631,2129,1498,982,1248,0.270875764
84006001451504,189,623,434,1453,2275,0.565726084
84006001451505,145,1189,1044,2001,2282,0.140429785
84006001451506,607,1115,508,1426,1645,0.153576438
84006001451601,506,1979,1473,1396,1533,0.098137536
84006001451602,1276,2891,1615,1368,1540,0.125730994
84006001451701,256,1047,791,1879,2228,0.185737094
84006001451703,228,1371,1143,1827,2179,0.192665572
84006001451704,582,1711,1129,1192,1516,0.271812081
84006001981900,24,24,0,1486,1857,0.249663526
84006001982000,7,29,22,-666666666,-666666666,0
84006001983200,32,310,278,1824,2536,0.390350877
84006001990000,0,0,0,-666666666,-666666666,0
84006013301000,344,1874,1530,1038,1431,0.378612717
84006013302005,906,2320,1414,920,1072,0.165217391
84006013302006,257,1249,992,1619,1689,0.043236566
84006013302007,687,2022,1335,1668,1540,-0.076738609
84006013302008,649,2172,1523,1265,1427,0.128063241
84006013302009,876,2017,1141,1887,2003,0.061473238
84006013302010,385,3213,2828,1732,2106,0.215935335
84006013303102,634,2468,1834,1213,1616,0.33223413
84006013303103,1552,3594,2042,1189,1738,0.461732548
84006013303201,1026,3060,2034,1993,1957,-0.018063221
84006013303202,575,2289,1714,2001,1849,-0.075962019
84006013303203,878,2927,2049,1932,2069,0.070910973
84006013303204,463,1590,1127,1134,1761,0.552910053
84006013303205,564,3282,2718,1932,2213,0.145445135
84006013304001,310,1412,1102,2001,2556,0.277361319
84006013304002,150,451,301,1393,1097,-0.212491027
84006013304003,345,1503,1158,2001,1965,-0.017991004
84006013304004,296,1595,1299,2001,2207,0.102948526
84006013304005,538,2198,1660,2001,2248,0.123438281
84006013305000,1715,2272,557,1073,1088,0.013979497
84006013306002,196,1036,840,1710,1333,-0.220467836
84006013306003,735,1695,960,1170,1199,0.024786325
84006013306004,534,1202,668,1274,1389,0.090266876
84006013307101,484,1443,959,1077,1409,0.308263695
84006013307102,939,1688,749,1246,1228,-0.014446228
84006013307201,527,1114,587,987,1042,0.055724417
84006013307202,1310,1489,179,1072,1057,-0.013992537
84006013307204,281,1239,958,1755,1650,-0.05982906
84006013307205,1471,2493,1022,1101,1305,0.185286104
84006013308001,760,2431,1671,1624,1544,-0.049261084
84006013308002,241,1397,1156,2001,2064,0.031484258
84006013309000,592,1251,659,1037,1190,0.147540984
84006013310000,976,1703,727,1085,1263,0.1640553
84006013311000,715,1484,769,1303,1353,0.038372985
84006013312000,519,781,262,931,566,-0.392051557
84006013313101,1339,2589,1250,1206,1220,0.011608624
84006013313102,670,1472,802,1461,1505,0.030116359
84006013313103,947,2640,1693,1297,1690,0.303006939
84006013313203,275,914,639,1682,1758,0.045184304
84006013313204,738,1708,970,1095,1324,0.20913242
84006013313205,119,506,387,1713,1723,0.005837712
84006013313206,765,1592,827,1243,1426,0.147224457
84006013314102,507,1662,1155,1136,1530,0.346830986
84006013314103,991,1753,762,1013,1317,0.300098717
84006013314104,1281,2447,1166,975,1218,0.249230769
84006013314200,653,1730,1077,1533,1433,-0.065231572
84006013315000,247,1215,968,1598,1699,0.063204005
84006013316000,411,465,54,772,937,0.21373057
84006013317000,702,1074,372,1230,1345,0.093495935
84006013318000,703,1475,772,1052,1231,0.170152091
84006013319000,1229,3162,1933,1219,1302,0.068088597
84006013320001,445,1254,809,1305,1377,0.055172414
84006013320003,145,1064,919,1736,2326,0.339861751
84006013320004,839,2542,1703,1519,1691,0.11323239
84006013321101,949,2579,1630,1333,1897,0.423105776
84006013321102,398,2675,2277,1696,2500,0.474056604
84006013321103,240,1783,1543,1462,1737,0.188098495
84006013321200,1313,2179,866,1376,1597,0.160610465
84006013322000,714,2456,1742,1675,2274,0.35761194
84006013323000,368,1714,1346,1664,1963,0.1796875
84006013324001,2444,2994,550,1316,1447,0.099544073
84006013324002,1558,2420,862,1417,1578,0.113620325
84006013325000,725,2161,1436,1182,1465,0.239424704
84006013326000,278,1345,1067,1966,1947,-0.009664293
84006013327000,1085,2837,1752,1153,1244,0.078924545
84006013328000,1375,1455,80,1065,1252,0.175586854
84006013329000,587,2162,1575,1413,1470,0.040339703
84006013330000,571,1878,1307,1634,1796,0.099143207
84006013331000,1190,2792,1602,1112,1391,0.250899281
84006013332000,726,2899,2173,1758,1421,-0.191695108
84006013333101,521,1512,991,1240,1486,0.198387097
84006013333102,407,1508,1101,1139,1476,0.295873573
84006013333200,716,2256,1540,1759,1973,0.121660034
84006013334001,723,1549,826,1259,1268,0.007148531
84006013334004,1560,3101,1541,1155,1481,0.282251082
84006013334006,292,1676,1384,2001,2677,0.337831084
84006013334200,636,2781,2145,2001,2203,0.100949525
84006013335000,445,1236,791,1539,1728,0.122807018
84006013336101,1294,1506,212,1045,1341,0.283253589
84006013336102,2351,2629,278,1087,1225,0.126954922
84006013336201,498,1198,700,1475,1369,-0.071864407
84006013336202,1479,1696,217,1066,1148,0.076923077
84006013337100,277,1244,967,1313,1702,0.296268088
84006013337200,1465,3023,1558,1237,1430,0.156022635
84006013337300,380,2279,1899,1560,1670,0.070512821
84006013338101,833,1755,922,1266,1370,0.082148499
84006013338102,157,1373,1216,1876,2198,0.171641791
84006013338201,198,1398,1200,1389,1764,0.269978402
84006013338203,1598,2663,1065,1522,1783,0.171484888
84006013338204,1228,2692,1464,1625,2060,0.267692308
84006013338301,141,1071,930,2001,1919,-0.04097951
84006013338302,291,2119,1828,1429,2297,0.607417775
84006013339001,1721,1821,100,1279,1682,0.315089914
84006013339002,2752,3530,778,1371,1685,0.229029905
84006013340001,1037,2389,1352,1316,1645,0.25
84006013340002,689,2936,2247,1595,2140,0.34169279
84006013341000,784,2108,1324,1408,1658,0.177556818
84006013343001,1134,2094,960,1332,1638,0.22972973
84006013343002,613,1894,1281,1670,1772,0.061077844
84006013343003,242,1486,1244,1283,1508,0.175370226
84006013345101,516,1851,1335,1494,1857,0.242971888
84006013345102,142,1217,1075,2001,2411,0.204897551
84006013345103,311,1764,1453,1654,1656,0.00120919
84006013345105,429,2246,1817,2001,2173,0.085957021
84006013345108,785,3132,2347,2001,2200,0.099450275
84006013345111,840,1865,1025,1435,1903,0.326132404
84006013345112,1047,2078,1031,1459,1891,0.296093215
84006013345113,128,1447,1319,2001,3147,0.572713643
84006013345114,251,2556,2305,2001,3190,0.594202899
84006013345115,469,1895,1426,1841,2421,0.315046171
84006013345116,143,898,755,2001,3222,0.610194903
84006013345202,1358,3119,1761,1660,1938,0.16746988
84006013345203,736,2656,1920,1845,1984,0.075338753
84006013345204,83,1252,1169,1158,3501,2.023316062
84006013346101,145,1301,1156,2001,3184,0.591204398
84006013346102,171,1998,1827,2001,2669,0.333833083
84006013346201,241,2751,2510,2001,2889,0.443778111
84006013346203,74,1377,1303,2001,3130,0.564217891
84006013346204,264,2520,2256,2001,2025,0.011994003
