GEOID,STATE,COUNTY_FIPS,TRACT,TOT_POP_MIN,TOT_POP_SEN,TOT_POP_POV,TOT_POP_CIV_NI,TOT_HH,TOT_FAM,TOT_POP_OVER5,POP_MINORITY,POP_OVER75,POP_SPFAM,POP_LEP,POP_BELOW200,POP_DISABILITY,POP_HUS_RENT50,POP_ZVHHS,PCT_OVER75,PCT_MINORITY,PCT_SPFAM,PCT_LEP,PCT_BELOW200,PCT_DISAB,PCT_ZVHHS,PCT_HUS_RENT50,OVER75_HALFSD,MINORITY_HALFSD,SPFAM_HALFSD,DISAB_HALFSD,LEP_HALFSD,BELOW200_HALFSD,ZVHH_HALFSD,HUS_RENT50_HALFSD,Count_DisadFact_HALFSD,COC_FLAG_2018,COC_CLASS
6001404300,6,1,404300,3329,3329,3329,3329,1252,871,3136,1191,187,32,66,251,196,15,42,0.056173025,0.357765095,0.03673938,0.021045918,0.075398017,0.05887654,0.033546326,0.011980831,0,0,0,0,0,0,0,0,0,0,NA
6001404400,6,1,404400,5404,5404,5386,5404,2317,1383,5078,1653,181,167,30,416,200,19,13,0.033493708,0.30588453,0.120751988,0.005907838,0.077237282,0.037009623,0.005610703,0.008200259,0,0,0,0,0,0,0,0,0,0,NA
6001404501,6,1,404501,1836,1836,1820,1836,679,538,1723,643,138,29,28,89,109,18,12,0.075163399,0.350217865,0.053903346,0.016250725,0.048901099,0.059368192,0.017673049,0.026509573,0,0,0,0,0,0,0,0,0,0,NA
6001404502,6,1,404502,5403,5403,5403,5403,2339,1621,5186,1836,432,147,56,129,577,29,76,0.07995558,0.339811216,0.090684762,0.010798303,0.023875625,0.106792523,0.032492518,0.012398461,0,0,0,0,0,0,0,0,0,0,NA
6001404600,6,1,404600,4347,4347,4340,4347,1761,1296,4150,1169,283,58,41,303,303,13,30,0.065102369,0.268921095,0.044753086,0.009879518,0.069815668,0.069703244,0.017035775,0.007382169,0,0,0,0,0,0,0,0,0,0,NA
6001404700,6,1,404700,2166,2166,2166,2166,795,585,1968,636,144,36,64,124,170,16,6,0.066481994,0.293628809,0.061538462,0.032520325,0.057248384,0.078485688,0.00754717,0.020125786,0,0,0,0,0,0,0,0,0,0,NA
6001404800,6,1,404800,2784,2784,2784,2784,1243,687,2539,1653,160,150,251,789,331,122,201,0.057471264,0.59375,0.218340611,0.098857818,0.283405172,0.118893678,0.161705551,0.098149638,0,0,1,0,0,0,1,0,2,0,NA
6001404900,6,1,404900,3995,3995,3995,3995,1945,1006,3644,1735,260,169,77,608,451,115,165,0.065081352,0.434292866,0.167992048,0.021130626,0.152190238,0.112891114,0.084832905,0.059125964,0,0,0,0,0,0,0,0,0,0,NA
6001405000,6,1,405000,3248,3248,3240,3239,1476,877,3050,1140,277,47,141,457,425,40,119,0.085283251,0.350985222,0.05359179,0.046229508,0.141049383,0.131213337,0.080623306,0.027100271,0,0,0,1,0,0,0,0,1,0,NA
6001405100,6,1,405100,4265,4265,4265,4265,1565,1222,3934,1535,279,59,71,77,188,30,27,0.065416178,0.359906213,0.048281506,0.018047789,0.018053927,0.044079719,0.017252396,0.019169329,0,0,0,0,0,0,0,0,0,0,NA
6001405200,6,1,405200,5099,5099,5099,5099,2391,1006,4866,3406,274,24,414,1116,693,360,182,0.053736027,0.667974113,0.023856859,0.085080148,0.218866444,0.135909002,0.076118779,0.150564617,0,0,0,1,0,0,0,1,2,0,NA
6001405301,6,1,405301,2899,2899,2899,2899,1517,660,2707,1636,167,76,160,586,437,202,252,0.057606071,0.564332528,0.115151515,0.059106021,0.202138669,0.150741635,0.166117337,0.133157548,0,0,0,1,0,0,1,0,2,0,NA
